coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,liquidity_level
Magic Internet Money,MIM,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,3/16/2022,High
The Graph,GRT,0.440816,0.003,0.041,0.315,388652958.0,2731591470.0,3/16/2022,High
Tezos,XTZ,3.05,0.021,0.025,0.013,114838106.0,2665887669.0,3/16/2022,High
cUSDC,CUSDC,0.022533007,-0.001,0.001,0.001,41.83,2449140377.0,3/16/2022,Low
Helium,HNT,21.72,-0.002,0.048,0.026,22415718.0,2183873719.0,3/16/2022,High
THORChain,RUNE,7.23,0.04,-0.059,0.769,297836092.0,2165143023.0,3/16/2022,High
EOS,EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,3/16/2022,High
ECOMI,OMI,0.003406821,0.019,0.027,-0.219,3444049.0,1976983567.0,3/16/2022,Medium
IOTA,MIOTA,0.712336,0.018,0.011,0.012,26950213.0,1976598984.0,3/16/2022,High
cDAI,CDAI,0.02189579,-0.001,0.0,0.0,93.89,1942222665.0,3/16/2022,Low
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,3/16/2022,High
Theta Fuel,TFUEL,0.162482,0.024,0.007,0.064,16105407.0,1886178774.0,3/16/2022,Medium
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,3/16/2022,High
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,3/16/2022,High
Maker,MKR,1982.58,0.029,0.071,0.129,92847731.0,1772467945.0,3/16/2022,High
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,3/16/2022,Medium
Gala,GALA,0.227781,0.026,0.047,0.037,551763058.0,1714837250.0,3/16/2022,High
BitTorrent,BTT,1.81e-06,0.007,0.022,0.003,87836205.0,1675881629.0,3/16/2022,High
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,3/16/2022,High
Huobi BTC,HBTC,41217.27,0.026,0.039,0.068,190002.0,1637583015.0,3/16/2022,Low
PancakeSwap,CAKE,5.57,0.026,0.01,-0.068,104112686.0,1530696417.0,3/16/2022,High
Quant,QNT,112.58,0.018,0.003,0.013,23727064.0,1505335556.0,3/16/2022,High
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,3/16/2022,High
eCash,XEC,7.93e-05,0.019,-0.005,0.144,37446216.0,1497455570.0,3/16/2022,High
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354.0,1461042552.0,3/16/2022,High
NEO,NEO,20.13,0.024,0.028,-0.017,148274906.0,1406977569.0,3/16/2022,High
TrueUSD,TUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,3/16/2022,High
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940.0,1392164927.0,3/16/2022,High
KuCoin Token,KCS,18.41,0.014,0.009,0.02,8578734.0,1390455505.0,3/16/2022,Medium
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635.0,1346075894.0,3/16/2022,Medium
Stacks,STX,1.26,0.018,0.026,0.183,44370134.0,1317492670.0,3/16/2022,High
Humans.ai,HEART,0.044270475,0.025,0.086,-0.547,1852838.0,1309127902.0,3/16/2022,Low
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819.0,1300650179.0,3/16/2022,High
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,3/16/2022,High
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,3/16/2022,Medium
Amp,AMP,0.025036138,0.018,0.007,0.003,8084731.0,1198878147.0,3/16/2022,Medium
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,3/16/2022,Low
Kusama,KSM,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,3/16/2022,High
Celo,CELO,2.52,0.022,0.037,-0.076,46620149.0,1074226736.0,3/16/2022,High
Kadena,KDA,6.23,0.024,0.009,0.031,58659719.0,1061714057.0,3/16/2022,High
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277.0,1049331415.0,3/16/2022,High
Dash,DASH,97.64,0.016,0.005,0.03,245449241.0,1035525179.0,3/16/2022,High
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916.0,1031430071.0,3/16/2022,Medium
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449.0,994783973.0,3/16/2022,High
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658.0,993438990.0,3/16/2022,High
GateToken,GT,6.52,0.012,0.031,-0.005,7695401.0,979761512.0,3/16/2022,Medium
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981.0,979304335.0,3/16/2022,High
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615.0,903998693.0,3/16/2022,High
Xido Finance,XIDO,30.86,-0.027,-0.049,0.766,1464061.0,893636559.0,3/16/2022,Low
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,3/16/2022,High
NEM,XEM,0.098240606,0.021,0.043,0.037,20866042.0,879585159.0,3/16/2022,High
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,3/16/2022,High
Oasis Network,ROSE,0.227889,0.036,0.07,0.027,65843862.0,794382929.0,3/16/2022,High
Curve DAO Token,CRV,2.02,0.026,0.022,-0.006,150926378.0,791197822.0,3/16/2022,High
Decred,DCR,56.87,0.02,0.143,0.088,25032753.0,787162797.0,3/16/2022,High
cUSDT,CUSDT,0.021768404,0.0,0.0,0.0,8111.5,775425368.0,3/16/2022,Low
Secret,SCRT,4.61,0.017,0.008,0.027,19871872.0,763750478.0,3/16/2022,High
LINK,LN,129.46,0.036,0.018,0.024,1207902.0,759436472.0,3/16/2022,Low
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743.0,756143474.0,3/16/2022,High
Holo,HOT,0.004147966,0.027,0.027,0.028,63199499.0,734353201.0,3/16/2022,High
Compound,COMP,109.58,0.026,0.045,0.052,40756551.0,726097698.0,3/16/2022,High
IoTeX,IOTX,0.076638518,0.042,0.007,0.117,91722669.0,717099434.0,3/16/2022,High
Bitkub Coin,KUB,7.89,0.004,0.0,-0.034,2193655.0,698922310.0,3/16/2022,Low
Neutrino USD,USDN,1.0,0.003,-0.001,0.007,15319422.0,687954763.0,3/16/2022,Medium
yearn.finance,YFI,18982.86,0.017,0.017,-0.014,81875140.0,678377900.0,3/16/2022,High
Nexus Mutual,NXM,92.51,0.026,0.035,0.065,1909.73,633750394.0,3/16/2022,Low
XDC Network,XDC,0.050635432,-0.002,-0.022,0.097,9930593.0,616292915.0,3/16/2022,Medium
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,3/16/2022,High
WAX,WAXP,0.274089,0.021,0.02,0.0,26837225.0,615219740.0,3/16/2022,High
Smooth Love Potion,SLP,0.016547553,0.019,0.018,-0.076,99341158.0,614525601.0,3/16/2022,High
Qtum,QTUM,5.95,0.029,0.023,0.036,79032386.0,612948390.0,3/16/2022,High
PAX Gold,PAXG,1935.78,0.007,0.005,-0.057,30748651.0,611668819.0,3/16/2022,High
Sushi,SUSHI,3.12,0.036,0.069,0.082,132202954.0,603245561.0,3/16/2022,High
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115.0,602582895.0,3/16/2022,Medium
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907.0,589774119.0,3/16/2022,Medium
Ankr,ANKR,0.072181813,0.023,0.016,-0.064,40789205.0,587511707.0,3/16/2022,High
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403.0,583581643.0,3/16/2022,High
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551.0,580439408.0,3/16/2022,Low
Marinade staked SOL,MSOL,88.63,0.025,0.014,0.043,18662090.0,578275391.0,3/16/2022,Medium
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838.0,574825195.0,3/16/2022,High
Zilliqa,ZIL,0.041008132,0.033,0.032,0.047,37965285.0,571307984.0,3/16/2022,High
SafeMoon,SFM,0.001028389,0.038,-0.034,-0.088,406894.0,566255393.0,3/16/2022,Low
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000.0,560228533.0,3/16/2022,High
Fei USD,FEI,1.0,0.001,0.0,0.003,10254055.0,557210659.0,3/16/2022,Medium
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611.0,553256284.0,3/16/2022,Low
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623.0,549632622.0,3/16/2022,High
Ravencoin,RVN,0.051804162,0.027,0.042,0.006,19390191.0,538520749.0,3/16/2022,High
IOST,IOST,0.02256876,0.025,0.011,0.015,35343794.0,517770891.0,3/16/2022,High
Bitcoin Gold,BTG,29.74,0.018,0.028,0.032,9146317.0,517358240.0,3/16/2022,Medium
Kava,KAVA,3.16,0.023,0.035,0.034,22753924.0,504959645.0,3/16/2022,High
UMA,UMA,7.74,0.018,0.018,-0.016,46067620.0,503487995.0,3/16/2022,High
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788.0,488521386.0,3/16/2022,Medium
Songbird,SGB,0.062799688,0.022,0.006,-0.137,2629530.0,486741272.0,3/16/2022,Low
e-Radix,EXRD,0.122181,0.022,0.063,0.004,2588295.0,484119330.0,3/16/2022,Low
Velas,VLX,0.213154,0.0,0.004,-0.037,4105033.0,483094532.0,3/16/2022,Medium
Rocket Pool,RPL,30.03,0.024,0.041,0.15,578038.0,480593962.0,3/16/2022,Low
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044,3689853.0,480346972.0,3/16/2022,Medium
Moonbeam,GLMR,2.38,0.023,0.038,-0.036,37324761.0,476681084.0,3/16/2022,High
Sapphire,SAPP,0.564647,0.02,0.001,0.014,432768.0,470978131.0,3/16/2022,Low
Horizen,ZEN,38.73,0.015,0.061,0.026,29127070.0,469969529.0,3/16/2022,High
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780.0,467152311.0,3/16/2022,High
Liquity USD,LUSD,1.0,0.0,0.0,-0.008,3222808.0,464727068.0,3/16/2022,Medium
Golem,GLM,0.465346,0.016,0.022,-0.085,15905189.0,464458665.0,3/16/2022,Medium
Rally,RLY,0.180078,0.026,0.001,-0.058,3356848.0,464413872.0,3/16/2022,Medium
Baby Doge Coin,BABYDOGE,2.86e-09,0.026,0.021,-0.039,10651029.0,452640717.0,3/16/2022,Medium
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,3/16/2022,Medium
Siacoin,SC,0.008880297,0.018,0.022,-0.004,12295120.0,446937901.0,3/16/2022,Medium
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039.0,436965500.0,3/16/2022,High
Ontology,ONT,0.499727,0.021,0.029,-0.011,30824913.0,433758425.0,3/16/2022,High
0x,ZRX,0.509791,0.025,0.035,0.028,29309302.0,427933388.0,3/16/2022,High
APENFT,NFT,1.52e-06,0.004,0.005,-0.047,69002807.0,421365369.0,3/16/2022,High
SKALE,SKL,0.12635,0.013,0.043,0.112,11283316.0,407687711.0,3/16/2022,Medium
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375.0,403883855.0,3/16/2022,Low
dYdX,DYDX,4.64,0.029,0.032,-0.036,95015055.0,396760804.0,3/16/2022,High
Dogelon Mars,ELON,7.24e-07,0.043,0.072,0.028,10950097.0,394017729.0,3/16/2022,Medium
Olympus,OHM,28.12,0.014,-0.019,-0.086,3529301.0,390854092.0,3/16/2022,Medium
Constellation,DAG,0.152116,0.013,-0.013,0.249,1019712.0,382521151.0,3/16/2022,Low
Synapse,SYN,2.17,0.012,-0.078,0.0,9229483.0,380868743.0,3/16/2022,Medium
Immutable X,IMX,1.57,0.043,0.012,0.049,87629552.0,365315958.0,3/16/2022,High
Convex CRV,CVXCRV,1.95,0.038,0.021,0.007,96902.91,364340007.0,3/16/2022,Low
Everdome,DOME,0.042328407,-0.004,0.09,-0.07,44769576.0,363656510.0,3/16/2022,High
Gemini Dollar,GUSD,1.0,0.003,0.001,0.001,3181078.0,355825684.0,3/16/2022,Low
JUST,JST,0.048936164,0.013,0.005,0.033,74944693.0,355779812.0,3/16/2022,High
Decentralized Social,DESO,33.97,0.005,0.111,0.192,768392.0,354095011.0,3/16/2022,Low
Polymath,POLY,0.384838,0.017,0.014,-0.036,12205658.0,344258737.0,3/16/2022,Medium
NuCypher,NU,0.419373,0.004,0.01,-0.098,4321357.0,342894249.0,3/16/2022,Medium
REN,REN,0.338855,0.032,0.012,-0.012,41048178.0,337192089.0,3/16/2022,High
Keep Network,KEEP,0.609779,0.012,0.019,-0.066,2299639.0,333366751.0,3/16/2022,Low
Illuvium,ILV,519.92,0.023,0.038,0.033,11072513.0,332435430.0,3/16/2022,Medium
Flux,FLUX,1.43,0.016,0.022,0.087,15489371.0,330216558.0,3/16/2022,Medium
Ethereum Name Service,ENS,14.05,0.04,0.043,0.016,39284120.0,326307175.0,3/16/2022,High
Hive,HIVE,0.869127,0.015,0.041,0.011,12455971.0,322775766.0,3/16/2022,Medium
Lido DAO,LDO,2.98,0.041,0.085,0.515,4675420.0,321983024.0,3/16/2022,Medium
STEPN,GMT,0.534126,0.073,0.573,2.935,1013704817.0,318571623.0,3/16/2022,High
Spell Token,SPELL,0.003547902,0.015,0.009,-0.059,27285439.0,317144040.0,3/16/2022,High
Nervos Network,CKB,0.010554841,0.014,0.02,-0.015,6162463.0,316458006.0,3/16/2022,Medium
Kyber Network Crystal,KNC,3.06,0.025,0.008,0.002,40287449.0,313785580.0,3/16/2022,High
FLEX Coin,FLEX,3.97,0.002,0.006,-0.002,1326196326.0,311600507.0,3/16/2022,High
HUSD,HUSD,0.999103,0.0,0.001,0.0,43235094.0,310668205.0,3/16/2022,High
Ultra,UOS,1.15,0.01,0.024,-0.037,8976424.0,308351253.0,3/16/2022,Medium
ConstitutionDAO,PEOPLE,0.060612313,0.061,0.102,0.075,143678395.0,307184638.0,3/16/2022,High
LooksRare,LOOKS,1.29,0.086,0.177,0.231,48697099.0,306843547.0,3/16/2022,High
DeFi Kingdoms,JEWEL,4.16,0.04,0.016,-0.074,11440253.0,302825745.0,3/16/2022,Medium
Telcoin,TEL,0.004899527,0.008,0.027,-0.011,2843059.0,301743735.0,3/16/2022,Low
Tomb,TOMB,1.18,0.031,0.01,-0.054,14140774.0,300452818.0,3/16/2022,Medium
Stargaze,STARS,0.401895,0.014,-0.005,-0.125,1726553.0,300351592.0,3/16/2022,Low
DigiByte,DGB,0.01966813,0.03,0.018,0.059,15693285.0,297257419.0,3/16/2022,Medium
DigitalBits,XDB,0.389141,0.023,0.216,0.209,3821494.0,296998483.0,3/16/2022,Medium
Syscoin,SYS,0.468329,0.023,-0.031,-0.074,12673226.0,296323527.0,3/16/2022,Medium
Lisk,LSK,2.03,0.015,0.006,0.019,7600165.0,293297599.0,3/16/2022,Medium
Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881.0,292863833.0,3/16/2022,Medium
Nano,XNO,2.2,-0.006,0.288,0.312,109830513.0,292516870.0,3/16/2022,High
Tenset,10SET,3.3,0.016,0.03,0.434,3059468.0,289328276.0,3/16/2022,Low
PlayDapp,PLA,0.797778,0.021,0.04,-0.013,17641285.0,288940736.0,3/16/2022,Medium
SafeMoon [OLD],SAFEMOON,5.06e-07,0.02,0.025,0.003,3503.42,277800683.0,3/16/2022,Low
Ronin,RON,1.86,0.023,0.029,-0.004,2243276.0,276423433.0,3/16/2022,Low
Persistence,XPRT,3.3,0.012,0.045,0.038,2580206.0,273550379.0,3/16/2022,Low
Radio Caca,RACA,0.001341144,0.028,0.041,0.099,15540182.0,273386276.0,3/16/2022,Medium
Pirate Chain,ARRR,1.44,0.023,0.028,0.312,1431339.0,269625697.0,3/16/2022,Low
MAI,MIMATIC,0.99909,0.002,0.006,0.002,11703582.0,269555684.0,3/16/2022,Medium
Casper Network,CSPR,0.063408018,0.023,0.101,0.019,11186869.0,262580070.0,3/16/2022,Medium
Everscale,EVER,0.191627,-0.011,-0.009,0.001,6416.99,261949792.0,3/16/2022,Low
SXP,SXP,1.34,0.022,0.059,0.038,71885529.0,258788391.0,3/16/2022,High
Floki Inu,FLOKI,2.83e-05,0.04,0.042,-0.037,6481180.0,257703958.0,3/16/2022,Medium
Zenon,ZNN,5.35,0.011,0.025,-0.019,42667.91,257245207.0,3/16/2022,Low
Injective,INJ,5.33,0.027,0.024,0.021,16026155.0,256116913.0,3/16/2022,Medium
MXC,MXC,0.104299,0.0,0.031,0.175,21346445.0,255853059.0,3/16/2022,High
WINkLink,WIN,0.000266334,0.011,0.02,-0.009,126343198.0,255157055.0,3/16/2022,High
WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983.0,254216018.0,3/16/2022,Medium
Perpetual Protocol,PERP,3.85,0.019,0.012,-0.009,8343005.0,251018197.0,3/16/2022,Medium
Mobox,MBOX,2.04,0.026,-0.024,0.06,38070293.0,250469440.0,3/16/2022,High
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169.0,249658255.0,3/16/2022,Medium
Trust Wallet Token,TWT,0.721272,0.026,-0.084,0.065,45061838.0,248213542.0,3/16/2022,High
Serum,SRM,1.87,0.02,0.026,0.034,40405418.0,247791442.0,3/16/2022,High
Coin98,C98,1.34,0.024,0.035,0.066,52212880.0,247303702.0,3/16/2022,High
Mirror Protocol,MIR,1.71,0.016,-0.046,0.13,109251651.0,247146075.0,3/16/2022,High
Zipmex Token,ZMT,2.79,-0.002,0.004,-0.005,14206660.0,246790193.0,3/16/2022,Medium
Tribe,TRIBE,0.543192,0.011,0.01,0.029,8017450.0,246535822.0,3/16/2022,Medium
VVS Finance,VVS,2.23e-05,0.018,0.022,-0.087,3849460.0,235411080.0,3/16/2022,Medium
Metahero,HERO,0.045156504,0.023,0.034,-0.106,8366250.0,233755062.0,3/16/2022,Medium
Creditcoin,CTC,1.14,0.015,0.015,0.023,3179625.0,233390471.0,3/16/2022,Low
Lido Staked SOL,STSOL,87.91,0.024,0.013,0.04,4624558.0,233265607.0,3/16/2022,Medium
API3,API3,4.7,0.028,-0.008,-0.101,29731985.0,230984150.0,3/16/2022,High
Escoin Token,ELG,3.37,0.024,0.021,0.051,685965.0,228752259.0,3/16/2022,Low
Function X,FX,0.488809,0.019,0.005,-0.005,2065790.0,228173732.0,3/16/2022,Low
Raydium,RAY,2.51,0.013,0.056,0.035,33025947.0,227133027.0,3/16/2022,High
CoinEx Token,CET,0.061152344,0.005,0.035,0.072,862651.0,226665111.0,3/16/2022,Low
Euro Tether,EURT,1.1,0.004,0.008,0.012,25282592.0,226370344.0,3/16/2022,High
Fetch.ai,FET,0.327851,0.022,0.007,0.024,21546674.0,224454559.0,3/16/2022,High
Dent,DENT,0.002351314,0.023,0.017,0.008,18982568.0,223840664.0,3/16/2022,Medium
Chia,XCH,65.15,0.012,-0.021,-0.084,10252044.0,221396095.0,3/16/2022,Medium
Status,SNT,0.056745128,0.012,0.007,-0.034,7688360.0,219753630.0,3/16/2022,Medium
Power Ledger,POWR,0.503878,0.01,0.005,-0.023,32211271.0,216689443.0,3/16/2022,High
Medibloc,MED,0.040119248,0.011,0.025,0.025,7724520.0,215001420.0,3/16/2022,Medium
xSUSHI,XSUSHI,3.8,0.002,0.033,0.055,107293.0,213613208.0,3/16/2022,Low
Chromia,CHR,0.37938,0.029,0.045,0.031,58407751.0,213564555.0,3/16/2022,High
Yield Guild Games,YGG,2.43,0.027,0.009,-0.057,17537941.0,212099797.0,3/16/2022,Medium
Telos,TLOS,0.819159,0.02,0.052,-0.096,4398496.0,212084558.0,3/16/2022,Medium
COTI,COTI,0.201515,0.017,0.048,0.008,15582614.0,210898806.0,3/16/2022,Medium
Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0.0,3032734.0,208898318.0,3/16/2022,Low
Celer Network,CELR,0.03706891,0.029,0.028,-0.003,35862409.0,208463091.0,3/16/2022,High
Orbs,ORBS,0.072194785,0.006,0.02,0.023,28204447.0,208178410.0,3/16/2022,High
Vulcan Forged,PYR,8.73,0.027,0.039,-0.044,38526780.0,207895650.0,3/16/2022,High
Energy Web Token,EWT,4.91,0.015,-0.009,0.042,2224285.0,205388247.0,3/16/2022,Low
Astar,ASTR,0.10323,0.009,0.007,0.032,7991761.0,205235595.0,3/16/2022,Medium
Origin Protocol,OGN,0.434115,0.007,-0.068,0.612,182478529.0,205164994.0,3/16/2022,High
Cratos,CRTS,0.002952177,-0.009,-0.037,-0.13,13535131.0,203670465.0,3/16/2022,Medium
Ocean Protocol,OCEAN,0.469383,0.028,0.051,0.074,22022827.0,202627972.0,3/16/2022,High
XYO Network,XYO,0.016347118,0.001,0.009,-0.032,4569339.0,202482367.0,3/16/2022,Medium
Dopex,DPX,1126.14,0.034,0.006,0.031,4629323.0,200498616.0,3/16/2022,Medium
PLEX,PLEX,0.815228,0.013,0.028,-0.008,15377424.0,198958494.0,3/16/2022,Medium
LUKSO Token,LYXE,13.05,0.016,0.015,-0.001,1147300.0,198688328.0,3/16/2022,Low
DAO Maker,DAO,2.19,0.012,-0.01,-0.042,3559341.0,196210425.0,3/16/2022,Medium
Boba Network,BOBA,1.21,0.007,0.061,0.136,4382013.0,192933914.0,3/16/2022,Medium
Mdex,MDX,0.223833,0.018,0.029,0.051,7274677.0,192821569.0,3/16/2022,Medium
UFO Gaming,UFO,7.53e-06,0.03,0.033,-0.009,5098371.0,191533622.0,3/16/2022,Medium
Ardor,ARDR,0.192938,0.014,0.02,-0.011,6272018.0,191059042.0,3/16/2022,Medium
Pundi X,PUNDIX,0.740085,0.014,0.022,-0.006,4296268.0,190637766.0,3/16/2022,Medium
Mask Network,MASK,4.05,0.032,0.07,0.023,46857218.0,189430950.0,3/16/2022,High
Kyber Network Crystal Legacy,KNCL,3.07,0.025,0.02,0.0,191301772.0,189342359.0,3/16/2022,High
Interest Bearing Bitcoin,IBBTC,40647.97,0.019,0.023,0.052,3253.9,187618251.0,3/16/2022,Low
Coinmetro,XCM,0.609647,0.005,-0.055,-0.017,54700.31,184318822.0,3/16/2022,Low
MX Token,MX,1.86,0.016,0.017,0.029,380193.0,184031159.0,3/16/2022,Low
Reserve Rights Token,RSR,0.013806376,0.015,0.136,0.133,58160962.0,182389151.0,3/16/2022,High
Radicle,RAD,4.43,0.018,0.016,0.021,5082786.0,182383890.0,3/16/2022,Medium
Conflux,CFX,0.116231,0.02,0.007,-0.072,4957635.0,180397101.0,3/16/2022,Medium
Wonderland,TIME,196.83,0.017,0.011,-0.085,1483133.0,179963381.0,3/16/2022,Low
XSGD,XSGD,0.73676,0.004,0.004,0.006,4120965.0,179572544.0,3/16/2022,Medium
MiL.k Alliance,MLK,0.81278,0.012,0.029,0.028,6771412.0,179537968.0,3/16/2022,Medium
Civic,CVC,0.268256,0.024,0.056,0.032,15009057.0,179389403.0,3/16/2022,Medium
Unibright,UBT,1.18,0.022,0.176,0.654,2875621.0,177414204.0,3/16/2022,Low
Aragon,ANT,4.62,0.027,0.05,0.051,31404911.0,176410722.0,3/16/2022,High
Yoshi.exchange,YOSHI,1.34,0.038,0.135,0.244,3113291.0,173731724.0,3/16/2022,Low
SuperFarm,SUPER,0.606166,0.025,0.012,0.023,15865086.0,173202752.0,3/16/2022,Medium
Divi,DIVI,0.06259334,-0.003,0.057,-0.041,232874.0,172881299.0,3/16/2022,Low
BTSE Token,BTSE,8.42,0.006,0.012,0.127,1644847.0,170044358.0,3/16/2022,Low
GMX,GMX,22.78,0.028,0.038,-0.062,3864455.0,168867621.0,3/16/2022,Medium
Request,REQ,0.218404,0.018,-0.001,0.122,18881863.0,168625356.0,3/16/2022,Medium
Multichain,MULTI,9.19,0.014,0.049,-0.195,1481745.0,168453270.0,3/16/2022,Low
Ergo,ERG,3.26,0.006,0.004,0.082,945449.0,168320273.0,3/16/2022,Low
Rari Governance Token,RGT,14.92,0.021,-0.025,0.02,590959.0,167699043.0,3/16/2022,Low
FEG Token BSC,FEG,3.98e-09,0.028,0.0,0.05,505356.0,166612893.0,3/16/2022,Low
Alchemy Pay,ACH,0.040564969,0.018,0.035,-0.003,9350241.0,166194387.0,3/16/2022,Medium
Numeraire,NMR,28.13,0.013,0.027,0.0,5247599.0,165855215.0,3/16/2022,Medium
Power Cash,PRCH,0.00054874,-0.01,-0.023,-0.007,107256.0,164420955.0,3/16/2022,Low
Moonriver,MOVR,48.85,0.021,-0.025,-0.062,23687001.0,163974343.0,3/16/2022,High
sBTC,SBTC,40609.35,0.02,0.026,0.054,1195100.0,162541982.0,3/16/2022,Low
Cartesi,CTSI,0.311626,0.02,-0.01,0.02,16935581.0,161866858.0,3/16/2022,Medium
JOE,JOE,0.883671,0.032,0.035,-0.097,8255024.0,161542087.0,3/16/2022,Medium
Veritaseum,VERI,75.29,0.034,0.502,0.4,128316.0,161292251.0,3/16/2022,Low
Bifrost,BFC,0.149179,0.013,0.017,0.01,1366910.0,157313585.0,3/16/2022,Low
inSure DeFi,SURE,0.005989953,0.025,0.121,0.163,1229192.0,156870603.0,3/16/2022,Low
Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731.0,155499279.0,3/16/2022,Low
AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800.0,154656421.0,3/16/2022,Low
Reef Finance,REEF,0.008455524,0.024,0.025,0.034,21823319.0,153505883.0,3/16/2022,High
World Mobile Token,WMT,0.656382,0.002,0.005,-0.005,1215991.0,153058923.0,3/16/2022,Low
Mango,MNGO,0.148804,0.021,0.011,-0.026,535237.0,152354623.0,3/16/2022,Low
Beldex,BDX,0.101366,0.018,0.013,0.44,172723.0,152144019.0,3/16/2022,Low
Poollotto.finance,PLT,17.61,0.004,0.004,0.015,737205.0,152110576.0,3/16/2022,Low
Biconomy,BICO,1.31,0.012,0.077,0.035,29389338.0,151360962.0,3/16/2022,High
FEG Token,FEG,3.71e-09,0.017,0.009,0.024,1093047.0,151073649.0,3/16/2022,Low
BNB48 Club Token,KOGE,75.36,0.006,0.016,-0.0005,8343005.0,151006279.0,3/16/2022,Medium
Ion,ION,7053.41,0.007,0.001,-0.143,100410.0,150512232.0,3/16/2022,Low
MMFinance,MMF,1.1,0.015,0.043,0.325,41252022.0,150442869.0,3/16/2022,High
Origin Dollar,OUSD,0.993428,0.001,-0.002,0.001,886336.0,150338408.0,3/16/2022,Low
Verge,XVG,0.00912706,0.024,0.027,-0.047,4578538.0,149908633.0,3/16/2022,Medium
Kishu Inu,KISHU,1.54e-09,0.046,0.094,0.147,7104908.0,149823531.0,3/16/2022,Medium
Band Protocol,BAND,3.62,0.027,0.05,0.043,25806815.0,149778191.0,3/16/2022,High
Tokamak Network,TON,3.57,0.01,0.025,-0.024,2216118.0,149004019.0,3/16/2022,Low
Storj,STORJ,1.04,0.023,0.042,0.106,29384442.0,147999404.0,3/16/2022,High
VeThor Token,VTHO,0.003245193,0.021,-0.004,0.062,5301268.0,147086117.0,3/16/2022,Medium
USDX,USDX,0.969027,0.008,0.015,0.001,876536.0,146788183.0,3/16/2022,Low
OriginTrail,TRAC,0.400529,0.016,0.009,-0.042,2381151.0,146343514.0,3/16/2022,Low
Merit Circle,MC,2.09,0.025,0.068,0.036,25892084.0,146317069.0,3/16/2022,High
aelf,ELF,0.318783,0.018,0.016,-0.012,12922826.0,145914636.0,3/16/2022,Medium
Akash Network,AKT,1.09,0.016,-0.001,0.019,1755865.0,145104697.0,3/16/2022,Low
GPEX,GPX,3.83,0.006,0.002,-0.072,179427.0,144648026.0,3/16/2022,Low
StarLink,STARL,1.44e-05,0.045,0.022,-0.004,13867876.0,143867182.0,3/16/2022,Medium
Pundi X [OLD],NPXS,0.000600992,0.0,-0.015,-0.128,0.0,142146180.0,3/16/2022,Low
